date,change_per,close,high,index,low,name,open,ticket,volume
2018-11-01,0.96,147000.0,147200.0,VN 30 (VNI30),145500.0,Cotec Construction JSC,145600.0,CTD,651500.0
2018-10-31,4.0,145600.0,145600.0,VN 30 (VNI30),142000.0,Cotec Construction JSC,143500.0,CTD,993700.0
2018-10-30,0.65,140000.0,142800.0,VN 30 (VNI30),138500.0,Cotec Construction JSC,139000.0,CTD,824800.0
2018-10-29,-2.04,139100.0,142000.0,VN 30 (VNI30),139100.0,Cotec Construction JSC,141100.0,CTD,731200.0
2018-10-26,-1.39,142000.0,147000.0,VN 30 (VNI30),140000.0,Cotec Construction JSC,146000.0,CTD,935699.9999999999
2018-10-25,-0.69,144000.0,144900.0,VN 30 (VNI30),140000.0,Cotec Construction JSC,140000.0,CTD,428900.0
2018-10-24,-1.36,145000.0,148000.0,VN 30 (VNI30),145000.0,Cotec Construction JSC,145500.0,CTD,540900.0
2018-10-23,-3.23,147000.0,151300.0,VN 30 (VNI30),145900.0,Cotec Construction JSC,151300.0,CTD,1396800.0
2018-10-22,-1.68,151900.0,156000.0,VN 30 (VNI30),151900.0,Cotec Construction JSC,156000.0,CTD,809700.0
2018-10-19,-0.96,154500.0,155400.0,VN 30 (VNI30),154000.0,Cotec Construction JSC,155000.0,CTD,1053900.0
2018-10-18,-0.95,156000.0,159000.0,VN 30 (VNI30),156000.0,Cotec Construction JSC,157500.0,CTD,804000.0
2018-10-17,0.19,157500.0,159000.0,VN 30 (VNI30),157500.0,Cotec Construction JSC,158200.0,CTD,304000.0
2018-10-16,0.77,157200.0,157600.0,VN 30 (VNI30),155500.0,Cotec Construction JSC,156000.0,CTD,392100.0
2018-10-15,-0.06,156000.0,160000.0,VN 30 (VNI30),154000.0,Cotec Construction JSC,157300.0,CTD,1242100.0
2018-10-12,-0.26,156100.0,158000.0,VN 30 (VNI30),154300.0,Cotec Construction JSC,156000.0,CTD,2217000.0
2018-10-11,-5.61,156500.0,162500.0,VN 30 (VNI30),155000.0,Cotec Construction JSC,160500.0,CTD,3305400.0
2018-10-10,0.0,165800.0,166500.0,VN 30 (VNI30),165100.0,Cotec Construction JSC,165900.0,CTD,568500.0
2018-10-09,-0.18,165800.0,167600.0,VN 30 (VNI30),165800.0,Cotec Construction JSC,166000.0,CTD,473800.0
2018-10-08,0.06,166100.0,168500.0,VN 30 (VNI30),165000.0,Cotec Construction JSC,168000.0,CTD,1662100.0
2018-10-05,0.73,166000.0,168200.0,VN 30 (VNI30),164800.0,Cotec Construction JSC,164800.0,CTD,2962500.0
2018-10-04,0.8,164800.0,165000.0,VN 30 (VNI30),163500.0,Cotec Construction JSC,163600.0,CTD,640600.0
2018-10-03,0.0,163500.0,164700.0,VN 30 (VNI30),163000.0,Cotec Construction JSC,163500.0,CTD,1055700.0
2018-10-02,-0.79,163500.0,165600.0,VN 30 (VNI30),163500.0,Cotec Construction JSC,164800.0,CTD,1462400.0
2018-10-01,-0.72,164800.0,166700.0,VN 30 (VNI30),164200.0,Cotec Construction JSC,166000.0,CTD,1818100.0
2018-09-28,-1.37,166000.0,169000.0,VN 30 (VNI30),166000.0,Cotec Construction JSC,168500.0,CTD,1078400.0
2018-09-27,1.39,168300.0,168700.0,VN 30 (VNI30),165100.0,Cotec Construction JSC,166000.0,CTD,1836800.0
2018-09-26,-1.19,166000.0,168400.0,VN 30 (VNI30),166000.0,Cotec Construction JSC,167800.0,CTD,2033800.0
2018-09-25,-1.06,168000.0,170000.0,VN 30 (VNI30),167400.0,Cotec Construction JSC,169800.0,CTD,1249800.0
2018-09-24,1.68,169800.0,170000.0,VN 30 (VNI30),167000.0,Cotec Construction JSC,167300.0,CTD,2365900.0
2018-09-21,2.45,167000.0,167500.0,VN 30 (VNI30),162500.0,Cotec Construction JSC,164000.0,CTD,5762700.0
2018-09-20,0.31,163000.0,163500.0,VN 30 (VNI30),162000.0,Cotec Construction JSC,162000.0,CTD,1239500.0
2018-09-19,0.0,162500.0,164800.0,VN 30 (VNI30),162300.0,Cotec Construction JSC,164800.0,CTD,1105000.0
2018-09-18,1.5,162500.0,162900.0,VN 30 (VNI30),159500.0,Cotec Construction JSC,160000.0,CTD,1424700.0
2018-09-17,-1.78,160100.0,163000.0,VN 30 (VNI30),160100.0,Cotec Construction JSC,162100.0,CTD,1984400.0
2018-09-14,-0.12,163000.0,164000.0,VN 30 (VNI30),163000.0,Cotec Construction JSC,163000.0,CTD,757700.0
2018-09-13,-0.49,163200.0,164900.0,VN 30 (VNI30),162700.0,Cotec Construction JSC,164000.0,CTD,841400.0
2018-09-12,0.0,164000.0,166900.0,VN 30 (VNI30),162000.0,Cotec Construction JSC,164900.0,CTD,1922200.0
2018-09-11,1.05,164000.0,164500.0,VN 30 (VNI30),162000.0,Cotec Construction JSC,162300.0,CTD,1423000.0
2018-09-10,-1.16,162300.0,166000.0,VN 30 (VNI30),162300.0,Cotec Construction JSC,165000.0,CTD,435600.0
2018-09-07,0.74,164200.0,165000.0,VN 30 (VNI30),162500.0,Cotec Construction JSC,164000.0,CTD,675699.9999999999
2018-09-06,-0.61,163000.0,166500.0,VN 30 (VNI30),162500.0,Cotec Construction JSC,164000.0,CTD,1305600.0
2018-09-05,0.61,164000.0,167000.0,VN 30 (VNI30),161200.0,Cotec Construction JSC,161200.0,CTD,1595400.0
2018-09-04,-1.51,163000.0,165500.0,VN 30 (VNI30),162900.0,Cotec Construction JSC,165200.0,CTD,929100.0
2018-08-31,-1.78,165500.0,168400.0,VN 30 (VNI30),165500.0,Cotec Construction JSC,167100.0,CTD,810300.0
2018-08-30,3.95,168500.0,169000.0,VN 30 (VNI30),162100.0,Cotec Construction JSC,162100.0,CTD,3594900.0
2018-08-29,-1.7,162100.0,165400.0,VN 30 (VNI30),162100.0,Cotec Construction JSC,164800.0,CTD,2153300.0
2018-08-28,1.92,164900.0,165100.0,VN 30 (VNI30),160500.0,Cotec Construction JSC,162200.0,CTD,3385500.0
2018-08-27,1.13,161800.0,162800.0,VN 30 (VNI30),160000.0,Cotec Construction JSC,160400.0,CTD,2722000.0
2018-08-24,3.23,160000.0,160000.0,VN 30 (VNI30),154800.0,Cotec Construction JSC,155000.0,CTD,4379200.0
2018-08-23,0.0,155000.0,156000.0,VN 30 (VNI30),153400.0,Cotec Construction JSC,156000.0,CTD,720300.0
2018-08-22,1.97,155000.0,156200.0,VN 30 (VNI30),152000.0,Cotec Construction JSC,152000.0,CTD,1740300.0
2018-08-21,-0.65,152000.0,153000.0,VN 30 (VNI30),151700.0,Cotec Construction JSC,152300.0,CTD,558100.0
2018-08-20,-0.33,153000.0,153600.0,VN 30 (VNI30),151200.0,Cotec Construction JSC,153000.0,CTD,1255500.0
2018-08-17,0.0,153500.0,154000.0,VN 30 (VNI30),150600.0,Cotec Construction JSC,153400.0,CTD,742200.0
2018-08-16,0.33,153500.0,153500.0,VN 30 (VNI30),150500.0,Cotec Construction JSC,152100.0,CTD,1100800.0
2018-08-15,-3.16,153000.0,158000.0,VN 30 (VNI30),153000.0,Cotec Construction JSC,158000.0,CTD,841600.0
2018-08-14,1.28,158000.0,158300.0,VN 30 (VNI30),153500.0,Cotec Construction JSC,155500.0,CTD,4551800.0
2018-08-13,2.63,156000.0,156900.0,VN 30 (VNI30),150500.0,Cotec Construction JSC,153000.0,CTD,2506600.0
2018-08-10,0.0,152000.0,153549.0,VN 30 (VNI30),151903.0,Cotec Construction JSC,152775.0,CTD,1083800.0
2018-08-09,1.82,152000.0,153452.0,VN 30 (VNI30),147159.0,Cotec Construction JSC,149096.0,CTD,2451700.0
2018-08-08,-0.39,149289.0,150838.0,VN 30 (VNI30),149096.0,Cotec Construction JSC,150064.0,CTD,1714600.0
2018-08-07,-1.09,149870.0,151613.0,VN 30 (VNI30),149676.0,Cotec Construction JSC,151032.0,CTD,2368300.0
2018-08-06,-2.8,151516.0,156744.0,VN 30 (VNI30),151516.0,Cotec Construction JSC,156744.0,CTD,2283200.0
2018-08-03,1.26,155873.0,157809.0,VN 30 (VNI30),153936.0,Cotec Construction JSC,154904.0,CTD,3970200.0
